,1,2,3,4,5,6,7,8,9,10,11,12,X
A,0,1,1,2,2,0,1,2,3,0,8,0,105
B,0,0,1,0,0,0,0,0,0,0,2,0,79
C,0,0,1,0,3,1,0,3,1,4,10,0,432
D,1,1,2,1,1,3,2,6,2,0,6,6,402
E,0,0,2,1,0,4,3,2,1,0,9,4,575
F,0,0,1,0,6,3,4,5,1,0,6,0,448
G,0,1,2,0,0,1,0,1,1,1,4,1,388
H,0,0,6,0,1,2,2,3,1,0,5,2,371
X,1,6,15,10,10,13,9,15,3,3,46,20,0
Stats,total,length_ok,mapped,single,adapter_only,no_match,too_short,ambiguous_multiple_cols,ambiguous_multiple_rows,ambiguous_multiple_rows_and_cols,,,
,10000,4265,163,2951,164,981,5735,6,0,0,,,
